Velocidade do compressor rpm, Vazão volumétrica m3/min,Pressão total Pa,Pressão estática Pa,Pressão dinâmica Pa,Temperatura do ar °C,Umidade do ar  %,Tensão monofasica volts,Corrente monofasica amp,FP,Potencia ativa Wattios,Potência reativa VAR,Valvula
3480,1.99,2609.36,2445.46,163.893,32.686,74.481,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2660.79,2500.40,160.394,32.664,74.388,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2709.21,2550.68,158.526,32.691,74.62,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2753.01,2594.50,158.51,32.753,75.104,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2789.16,2629.00,160.163,32.827,75.611,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2813.38,2650.64,162.738,32.854,75.939,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2825.85,2660.29,165.567,32.842,75.994,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2831.08,2662.87,168.212,32.822,75.785,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2831.82,2661.49,170.333,32.786,75.559,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2827.70,2655.78,171.921,32.749,75.528,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2818.35,2645.55,172.801,32.741,75.597,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2804.49,2631.37,173.126,32.779,75.594,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2786.75,2613.75,173.006,32.84,75.533,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2765.17,2592.85,172.314,32.845,75.456,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2740.22,2569.22,171.001,32.774,75.42,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2712.48,2543.22,169.266,32.681,75.444,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2683.42,2515.71,167.704,32.618,75.54,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2655.28,2488.87,166.415,32.602,75.727,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2627.84,2462.61,165.23,32.598,75.921,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2600.63,2436.44,164.183,32.59,75.975,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2571.22,2408.01,163.214,32.615,75.82,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2534.92,2372.49,162.428,32.667,75.54,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2493.14,2331.11,162.031,32.713,75.344,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2448.65,2286.49,162.158,32.731,75.367,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2403.50,2240.73,162.772,32.715,75.498,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2360.48,2196.52,163.966,32.711,75.615,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2318.88,2153.21,165.67,32.738,75.73,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2279.20,2111.74,167.461,32.786,75.852,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2244.72,2075.69,169.029,32.85,75.951,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2218.60,2048.21,170.39,32.884,75.941,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2204.02,2032.23,171.792,32.888,75.806,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2203.56,2030.37,173.183,32.886,75.703,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2218.04,2043.33,174.711,32.865,75.702,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2246.42,2069.79,176.638,32.843,75.73,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2286.20,2107.35,178.846,32.817,75.707,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2334.61,2153.52,181.095,32.776,75.623,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2388.39,2205.27,183.12,32.762,75.48,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2442.69,2257.70,184.984,32.784,75.294,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2487.99,2300.85,187.144,32.803,75.122,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2515.95,2326.15,189.798,32.808,75.014,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2526.88,2334.27,192.609,32.815,74.982,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2522.62,2327.32,195.301,32.832,75.02,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2501.98,2304.42,197.557,32.834,75.078,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2465.90,2266.91,198.993,32.811,75.142,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2418.52,2219.04,199.484,32.789,75.216,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2366.32,2167.39,198.933,32.811,75.246,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2318.46,2120.87,197.588,32.862,75.206,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2282.29,2086.25,196.043,32.857,75.155,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2261.67,2067.08,194.589,32.766,75.206,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2254.51,2061.20,193.305,32.68,75.275,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2258.05,2065.69,192.35,32.697,75.264,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2270.34,2078.20,192.139,32.807,75.21,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2288.90,2096.07,192.832,32.931,75.117,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2312.48,2118.21,194.266,32.997,75.042,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2339.19,2142.95,196.243,32.999,75.063,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2366.69,2168.31,198.379,32.962,75.151,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2392.20,2191.94,200.257,32.921,75.312,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2413.04,2211.47,201.568,32.896,75.467,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2431.83,2230.02,201.819,32.902,75.489,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2450.58,2249.77,200.81,32.903,75.413,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2467.29,2268.52,198.769,32.844,75.333,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2484.49,2288.52,195.962,32.737,75.32,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2504.20,2311.41,192.789,32.678,75.311,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2523.90,2334.33,189.563,32.72,75.249,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2540.94,2354.28,186.666,32.759,75.212,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2554.12,2369.52,184.6,32.714,75.233,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2561.98,2378.76,183.223,32.662,75.3,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2563.99,2381.92,182.069,32.713,75.385,221.7,4.9,0.57,628.8,889.4,P1
3480,1.99,2559.91,2378.69,181.22,32.875,75.429,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2553.72,2373.40,180.312,33.03,75.482,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2548.92,2370.21,178.705,33.051,75.609,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2547.21,2371.13,176.08,32.983,75.714,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2550.24,2377.59,172.654,32.935,75.707,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2557.10,2388.27,168.825,32.92,75.509,221.7,4.9,0.57,628.8,889.4,P1
3480,2.00,2566.55,2401.87,164.685,32.961,75.125,221.7,4.9,0.57,628.8,889.4,P1
3480,02.01,2578.50,2418.06,160.446,33.025,74.776,221.7,4.9,0.57,628.8,889.4,P1
3480,02.01,2592.36,2435.75,156.615,33.03,74.668,221.7,4.9,0.57,628.8,889.4,P1
3480,02.01,2601.06,2447.63,153.431,32.962,74.803,221.7,4.9,0.57,628.8,889.4,P1
3480,02.01,2597.14,2446.17,150.968,32.871,75.024,221.7,4.9,0.57,628.8,889.4,P1
3480,02.01,2580.75,2431.50,149.253,32.81,75.139,221.7,4.9,0.57,628.8,889.4,P1
3480,02.01,2553.15,2404.69,148.462,32.806,75.114,221.7,4.9,0.57,628.8,889.4,P1
3480,02.01,2515.08,2366.33,148.745,32.823,75.062,221.7,4.9,0.57,628.8,889.4,P1
3480,02.01,2469.99,2320.02,149.966,32.836,75.005,221.7,4.9,0.57,628.8,889.4,P1
3480,02.01,2418.18,2265.87,152.312,32.88,74.935,221.7,4.9,0.57,628.8,889.4,P1
3480,02.01,2360.29,2204.60,155.696,32.954,74.941,221.7,4.9,0.57,628.8,889.4,P1
3480,02.01,2301.26,2141.61,159.651,32.998,75.071,221.7,4.9,0.57,628.8,889.4,P1
3480,02.01,2245.56,2081.52,164.045,32.968,75.181,221.7,4.9,0.57,628.8,889.4,P1
3480,02.01,2196.87,2027.96,168.916,32.881,75.176,221.7,4.9,0.57,628.8,889.4,P1
