Velocidade do compressor rpm, Vazão volumétrica m3/min,Pressão total Pa,Pressão estática Pa,Pressão dinâmica Pa,Temperatura do ar °C,Umidade do ar  %,Tensão monofasica volts,Corrente monofasica amp,FP,Potencia ativa Wattios,Potência reativa VAR
3480,"2,20","2673,73","2449,376","224,353","32,891","75,691","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2671,45","2448,245","223,205","32,875","75,687","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2665,53","2443,941","221,59","32,883","75,669","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2656,80","2437,262","219,538","32,911","75,693","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2644,83","2427,534","217,292","32,941","75,78","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2629,08","2413,863","215,217","32,93","75,902","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2611,69","2397,865","213,825","32,858","76,175","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2593,16","2379,902","213,255","32,804","76,615","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2573,08","2359,73","213,347","32,839","76,98","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2553,00","2339,178","213,821","32,894","77,083","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2535,08","2320,521","214,555","32,931","76,808","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2521,19","2305,308","215,878","32,944","76,269","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2508,75","2291,167","217,586","32,928","75,842","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2493,81","2274,865","218,942","32,896","75,738","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2476,80","2257,371","219,432","32,825","76,217","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2457,85","2239,154","218,692","32,722","77,14","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2437,08","2220,647","216,431","32,674","77,751","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2412,81","2200,177","212,633","32,69","77,593","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2383,79","2176,422","207,364","32,712","76,835","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2352,67","2151,774","200,898","32,74","76,069","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2322,27","2128,241","194,032","32,79","75,763","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2292,15","2104,589","187,564","32,859","75,74","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2261,39","2079,278","182,109","32,908","75,717","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2232,29","2053,933","178,357","32,914","75,73","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2208,85","2032,145","176,706","32,878","75,75","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2194,14","2017,013","177,126","32,824","75,757","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2188,55","2009,258","179,287","32,784","75,81","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2191,27","2008,375","182,891","32,778","75,886","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2201,98","2014,332","187,643","32,796","75,909","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2220,69","2027,379","193,313","32,816","75,833","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2244,97","2045,135","199,832","32,829","75,662","221,8","5,01","0,57","641,8","905,8"
3480,"2,22","2271,90","2064,982","206,917","32,852","75,517","221,8","5,01","0,57","641,8","905,8"
3480,"2,22","2302,65","2088,297","214,353","32,895","75,468","221,8","5,01","0,57","641,8","905,8"
3480,"2,22","2337,39","2115,389","221,998","32,944","75,485","221,8","5,01","0,57","641,8","905,8"
3480,"2,22","2371,37","2141,822","229,545","32,982","75,567","221,8","5,01","0,57","641,8","905,8"
3480,"2,22","2395,06","2158,634","236,428","32,972","75,672","221,8","5,01","0,57","641,8","905,8"
3480,"2,22","2398,73","2156,52","242,205","32,91","75,751","221,8","5,01","0,57","641,8","905,8"
3480,"2,22","2383,64","2136,812","246,826","32,834","75,806","221,8","5,01","0,57","641,8","905,8"
3480,"2,22","2355,65","2105,4","250,248","32,786","75,856","221,8","5,01","0,57","641,8","905,8"
3480,"2,23","2318,31","2066,133","252,178","32,797","75,918","221,8","5,01","0,57","641,8","905,8"
3480,"2,23","2275,69","2023,119","252,568","32,853","75,952","221,8","5,01","0,57","641,8","905,8"
3480,"2,23","2234,27","1982,605","251,669","32,877","75,905","221,8","5,01","0,57","641,8","905,8"
3480,"2,23","2199,94","1950,111","249,832","32,842","75,775","221,8","5,01","0,57","641,8","905,8"
3480,"2,22","2174,69","1927,423","247,27","32,792","75,634","221,8","5,01","0,57","641,8","905,8"
3480,"2,22","2160,05","1915,948","244,099","32,778","75,53","221,8","5,01","0,57","641,8","905,8"
3480,"2,22","2157,33","1916,842","240,492","32,821","75,362","221,8","5,01","0,57","641,8","905,8"
3480,"2,22","2166,99","1930,137","236,853","32,888","75,066","221,8","5,01","0,57","641,8","905,8"
3480,"2,22","2185,90","1952,044","233,851","32,912","74,784","221,8","5,01","0,57","641,8","905,8"
3480,"2,22","2210,32","1978,318","231,997","32,874","74,716","221,8","5,01","0,57","641,8","905,8"
3480,"2,22","2240,56","2009,434","231,124","32,837","74,927","221,8","5,01","0,57","641,8","905,8"
3480,"2,22","2273,24","2042,762","230,476","32,827","75,239","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2302,09","2072,483","229,602","32,845","75,416","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2326,35","2097,861","228,484","32,874","75,46","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2343,33","2116,075","227,251","32,887","75,494","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2349,19","2123,135","226,055","32,951","75,554","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2349,61","2124,392","225,215","33,08","75,575","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2352,39","2127,415","224,972","33,094","75,632","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2358,96","2133,501","225,461","32,93","75,667","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2368,29","2141,401","226,887","32,692","75,494","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2379,73","2150,492","229,233","32,523","75,26","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2391,65","2159,548","232,1","32,54","75,155","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2403,50","2168,529","234,967","32,665","75,216","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2416,24","2178,916","237,328","32,751","75,402","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2430,38","2191,485","238,896","32,778","75,478","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2445,90","2206,024","239,878","32,768","75,423","221,8","5,01","0,57","641,8","905,8"
3480,"2,21","2462,98","2222,233","240,748","32,744","75,428","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2478,06","2236,543","241,515","32,758","75,435","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2487,36","2245,84","241,523","32,807","75,391","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2490,54","2250,139","240,404","32,837","75,349","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2484,67","2246,348","238,323","32,824","75,364","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2471,24","2235,513","235,726","32,803","75,483","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2455,23","2222,14","233,094","32,795","75,653","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2436,16","2205,381","230,778","32,796","75,729","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2416,74","2187,896","228,844","32,796","75,632","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2404,09","2176,793","227,297","32,788","75,441","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2403,13","2176,722","226,41","32,791","75,293","221,8","5,01","0,57","641,8","905,8"
3480,"2,20","2415,88","2189,523","226,352","32,783","75,243","221,8","5,01","0,57","641,8","905,8"
3480,"1,99","2473,29","2293,369","179,92","32,783","75,368","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2512,15","2337,939","174,207","32,766","75,164","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2558,39","2389,75","168,641","32,737","74,816","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2609,36","2445,463","163,893","32,686","74,481","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2660,79","2500,399","160,394","32,664","74,388","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2709,21","2550,68","158,526","32,691","74,62","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2753,01","2594,501","158,51","32,753","75,104","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2789,16","2628,998","160,163","32,827","75,611","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2813,38","2650,638","162,738","32,854","75,939","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2825,85","2660,285","165,567","32,842","75,994","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2831,08","2662,865","168,212","32,822","75,785","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2831,82","2661,486","170,333","32,786","75,559","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2827,70","2655,775","171,921","32,749","75,528","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2818,35","2645,548","172,801","32,741","75,597","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2804,49","2631,365","173,126","32,779","75,594","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2786,75","2613,747","173,006","32,84","75,533","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2765,17","2592,851","172,314","32,845","75,456","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2740,22","2569,216","171,001","32,774","75,42","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2712,48","2543,217","169,266","32,681","75,444","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2683,42","2515,713","167,704","32,618","75,54","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2655,28","2488,867","166,415","32,602","75,727","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2627,84","2462,609","165,23","32,598","75,921","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2600,63","2436,441","164,183","32,59","75,975","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2571,22","2408,005","163,214","32,615","75,82","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2534,92","2372,491","162,428","32,667","75,54","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2493,14","2331,109","162,031","32,713","75,344","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2448,65","2286,487","162,158","32,731","75,367","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2403,50","2240,732","162,772","32,715","75,498","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2360,48","2196,517","163,966","32,711","75,615","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2318,88","2153,211","165,67","32,738","75,73","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2279,20","2111,739","167,461","32,786","75,852","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2244,72","2075,691","169,029","32,85","75,951","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2218,60","2048,214","170,39","32,884","75,941","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2204,02","2032,227","171,792","32,888","75,806","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2203,56","2030,374","173,183","32,886","75,703","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2218,04","2043,325","174,711","32,865","75,702","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2246,42","2069,786","176,638","32,843","75,73","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2286,20","2107,352","178,846","32,817","75,707","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2334,61","2153,517","181,095","32,776","75,623","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2388,39","2205,269","183,12","32,762","75,48","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2442,69","2257,701","184,984","32,784","75,294","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2487,99","2300,846","187,144","32,803","75,122","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2515,95","2326,151","189,798","32,808","75,014","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2526,88","2334,271","192,609","32,815","74,982","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2522,62","2327,323","195,301","32,832","75,02","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2501,98","2304,419","197,557","32,834","75,078","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2465,90","2266,908","198,993","32,811","75,142","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2418,52","2219,037","199,484","32,789","75,216","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2366,32","2167,391","198,933","32,811","75,246","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2318,46","2120,873","197,588","32,862","75,206","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2282,29","2086,246","196,043","32,857","75,155","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2261,67","2067,077","194,589","32,766","75,206","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2254,51","2061,203","193,305","32,68","75,275","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2258,05","2065,694","192,35","32,697","75,264","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2270,34","2078,199","192,139","32,807","75,21","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2288,90","2096,073","192,832","32,931","75,117","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2312,48","2118,212","194,266","32,997","75,042","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2339,19","2142,948","196,243","32,999","75,063","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2366,69","2168,307","198,379","32,962","75,151","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2392,20","2191,94","200,257","32,921","75,312","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2413,04","2211,467","201,568","32,896","75,467","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2431,83","2230,016","201,819","32,902","75,489","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2450,58","2249,765","200,81","32,903","75,413","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2467,29","2268,517","198,769","32,844","75,333","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2484,49","2288,524","195,962","32,737","75,32","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2504,20","2311,409","192,789","32,678","75,311","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2523,90","2334,333","189,563","32,72","75,249","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2540,94","2354,276","186,666","32,759","75,212","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2554,12","2369,519","184,6","32,714","75,233","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2561,98","2378,755","183,223","32,662","75,3","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2563,99","2381,918","182,069","32,713","75,385","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2559,91","2378,694","181,22","32,875","75,429","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2553,72","2373,404","180,312","33,03","75,482","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2548,92","2370,212","178,705","33,051","75,609","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2547,21","2371,127","176,08","32,983","75,714","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2550,24","2377,589","172,654","32,935","75,707","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2557,10","2388,271","168,825","32,92","75,509","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2566,55","2401,869","164,685","32,961","75,125","221,7","4,9","0,57","628,8","889,4"
3480,"2,01","2578,50","2418,057","160,446","33,025","74,776","221,7","4,9","0,57","628,8","889,4"
3480,"2,01","2592,36","2435,747","156,615","33,03","74,668","221,7","4,9","0,57","628,8","889,4"
3480,"2,01","2601,06","2447,632","153,431","32,962","74,803","221,7","4,9","0,57","628,8","889,4"
3480,"2,01","2597,14","2446,174","150,968","32,871","75,024","221,7","4,9","0,57","628,8","889,4"
3480,"2,01","2580,75","2431,496","149,253","32,81","75,139","221,7","4,9","0,57","628,8","889,4"
3480,"2,01","2553,15","2404,69","148,462","32,806","75,114","221,7","4,9","0,57","628,8","889,4"
3480,"2,01","2515,08","2366,332","148,745","32,823","75,062","221,7","4,9","0,57","628,8","889,4"
3480,"2,01","2469,99","2320,023","149,966","32,836","75,005","221,7","4,9","0,57","628,8","889,4"
3480,"2,01","2418,18","2265,872","152,312","32,88","74,935","221,7","4,9","0,57","628,8","889,4"
3480,"2,01","2360,29","2204,598","155,696","32,954","74,941","221,7","4,9","0,57","628,8","889,4"
3480,"2,01","2301,26","2141,609","159,651","32,998","75,071","221,7","4,9","0,57","628,8","889,4"
3480,"2,01","2245,56","2081,518","164,045","32,968","75,181","221,7","4,9","0,57","628,8","889,4"
3480,"2,01","2196,87","2027,958","168,916","32,881","75,176","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2159,95","1986,172","173,782","32,789","75,164","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2139,39","1960,912","178,473","32,745","75,202","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2137,44","1954,465","182,971","32,759","75,256","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2154,21","1967,184","187,028","32,804","75,25","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2188,15","1997,706","190,439","32,852","75,135","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2236,10","2043,128","192,968","32,882","75,025","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2293,01","2098,469","194,539","32,889","75,022","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2345,38","2150,403","194,978","32,862","75,009","221,7","4,9","0,57","628,8","889,4"
3480,"2,00","2380,63","2186,571","194,06","32,817","74,955","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2400,50","2208,651","191,851","32,805","74,944","221,7","4,9","0,57","628,8","889,4"
3480,"1,99","2409,63","2221,101","188,525","32,851","74,971","221,7","4,9","0,57","628,8","889,4"
3480,"1,64","2449,81","2321,118","128,688","32,632","74,787","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2485,21","2358,258","126,954","32,742","74,976","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2515,07","2390,592","124,481","32,839","75,165","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2534,71","2413,533","121,174","32,884","75,277","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2544,90","2427,546","117,353","32,902","75,271","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2545,48","2431,817","113,665","32,929","75,17","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2536,47","2425,806","110,661","32,958","75,064","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2517,39","2408,629","108,761","32,985","75,027","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2489,56","2381,233","108,324","32,993","75,08","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2455,59","2345,888","109,698","32,962","75,174","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2420,29","2307,617","112,677","32,892","75,192","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2389,23","2272,472","116,756","32,815","75,067","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2365,43","2244,172","121,253","32,784","74,994","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2351,01","2225,547","125,465","32,797","75,117","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2347,04","2217,877","129,159","32,825","75,302","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2353,65","2221,378","132,274","32,853","75,344","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2370,02","2235,402","134,613","32,849","75,127","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2392,47","2256,422","136,05","32,836","74,778","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2418,08","2281,215","136,861","32,846","74,575","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2445,73","2308,585","137,146","32,872","74,565","221,6","4,76","0,57","608,6","862,7"
3480,"1,64","2473,86","2336,864","136,995","32,907","74,593","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2499,83","2363,417","136,415","32,92","74,6","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2524,62","2389,466","135,15","32,911","74,573","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2550,51","2417,303","133,21","32,912","74,505","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2574,66","2443,984","130,675","32,904","74,443","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2593,52","2465,773","127,745","32,852","74,405","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2606,26","2481,451","124,811","32,781","74,373","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2614,77","2492,371","122,397","32,746","74,417","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2623,95","2503,305","120,648","32,755","74,568","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2637,79","2518,36","119,427","32,786","74,788","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2655,91","2536,962","118,947","32,827","75,033","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2676,24","2556,86","119,376","32,869","75,146","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2697,29","2576,497","120,796","32,916","75,069","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2718,45","2595,325","123,12","32,961","74,928","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2737,79","2612,15","125,642","32,969","74,809","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2753,39","2625,391","127,996","32,906","74,782","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2762,65","2632,463","130,19","32,778","74,821","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2764,92","2633,228","131,693","32,662","74,813","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2760,61","2628,755","131,859","32,636","74,741","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2748,39","2617,731","130,662","32,697","74,681","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2726,92","2598,781","128,134","32,774","74,526","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2695,70","2571,141","124,554","32,8","74,141","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2656,25","2535,559","120,686","32,785","73,718","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2611,67","2494,613","117,059","32,766","73,587","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2566,71","2452,567","114,147","32,738","73,85","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2526,19","2413,665","112,523","32,725","74,317","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2492,95","2380,648","112,304","32,759","74,618","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2468,62","2355,374","113,244","32,817","74,606","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2454,98","2339,609","115,373","32,856","74,507","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2452,69","2333,917","118,772","32,848","74,488","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2461,15","2338,056","123,09","32,802","74,524","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2478,88","2351,276","127,606","32,769","74,541","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2502,27","2370,643","131,627","32,785","74,491","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2527,32","2392,469","134,853","32,856","74,384","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2551,85","2414,467","137,378","32,946","74,311","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2574,16","2435,09","139,068","33,005","74,338","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2593,64","2454,146","139,491","33,019","74,479","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2609,64","2471,203","138,437","33,008","74,671","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2620,37","2484,296","136,076","32,967","74,817","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2625,05","2492,644","132,406","32,898","74,868","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2626,17","2498,77","127,401","32,833","74,819","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2626,05","2504,495","121,559","32,787","74,741","221,6","4,76","0,57","608,6","862,7"
3480,"1,65","2625,45","2509,906","115,543","32,763","74,694","221,6","4,76","0,57","608,6","862,7"
